"","municipio","cod_municipio","uf","area_km2","desmatado","incremento","floresta","nuvem","nao_observado","nao_floresta","hidrografia","soma","ano"
"158","Santa Luzia D'Oeste",1100296,"RO",1207,936.8,18.1,270.2,0,0,0,0,100,2003
"159","Santa Luzia",2110005,"MA",6245,5559.7,24.8,683.6,1.3,0.4,0,0,100,2003
"160","Santa Isabel do Rio Negro",1303601,"AM",64130,202,6.9,62265.2,12.8,70.9,950.8,628.3,99,2003
"161","Santa Isabel do Pará",1506500,"PA",720,513.1,10.4,0,0,207,4.1,20.8,103,2003
"162","Santa Inês",2109908,"MA",778,766.3,0,0,0,0,8.6,3.5,100,2003
"163","Santa Helena",2109809,"MA",2335,1378.3,7.5,219.2,0.3,0,629.3,107.9,100,2003
"164","Santa Filomena do Maranhão",2109759,"MA",408,46.1,3.2,22.6,0,0,339.3,0,100,2003
"165","Santa Fé do Araguaia",1718865,"TO",1683,1219.3,1,404.4,0,0,0,59.3,100,2003
"166","Santa Cruz do Xingu",5107743,"MT",5627,1144.7,81.6,2795.3,0,0,1621.6,65.4,100,2003
"167","Santa Cruz do Arari",1506401,"PA",1078,0,0,5.7,0,0,1044.1,28.2,100,2003
"168","Santa Carmem",5107248,"MT",3836,1046.7,181.8,2789.3,0,0,0,0,100,2003
"169","Santa Bárbara do Pará",1506351,"PA",279,154.2,2,0,0,125.3,0,19.6,107,2003
"170","Sandolândia",1718840,"TO",3536,4.1,0,75.1,0,1.1,3440.9,14.8,100,2003
"171","Sampaio",1718808,"TO",223,73.5,0.1,13,0,0.5,123.4,12.6,100,2003
"172","Sambaíba",2109700,"MA",2509,0,0,31.9,0,0,2477.1,0,100,2003
"173","Salvaterra",1506302,"PA",1048,101.2,1,0,0,357.1,433.3,299.7,113,2003
"174","Salto do Céu",5107750,"MT",1776,1324.2,36.9,400,0,0,51.7,0.1,100,2003
"175","Salinópolis",1506203,"PA",219,20.5,0,148.7,2.5,15.9,10.5,20.9,99,2003
"176","Rurópolis",1506195,"PA",7025,1463.5,37.9,5513.7,0,0,0,47.8,100,2003
"177","Rosário Oeste",5107701,"MT",7493,64.2,0.2,24.8,0,0,7395,9,100,2003
"178","Rosário",2109601,"MA",695,62.4,1.1,538.2,0,0,0,94.4,100,2003
"179","Rorainópolis",1400472,"RR",33847,941.7,54.7,24685.6,0,6,7642.4,571.3,100,2003
"180","Rondonópolis",5107602,"MT",4168,818.6,8.1,278,0,0.1,3065.7,5.6,99,2003
"181","Rondon do Pará",1506187,"PA",8286,4749.6,57.6,3536.4,0,0,0,0,100,2003
"182","Rondolândia",5107578,"MT",12743,1667.1,109.8,10998.1,0,1.2,52.2,24.4,100,2003
"183","Rolim de Moura",1100288,"RO",1471,1286.2,18,184.8,0,0,0,0,100,2003
"184","Rodrigues Alves",1200427,"AC",3246,386.2,3.3,2807.1,0,52,0.7,0,100,2003
"185","Rio Sono",1718758,"TO",6394,0,0,0,0,1928.6,6392.1,0,130,2003
"186","Rio Preto da Eva",1303569,"AM",5838,540.2,17,5286.4,0,1.1,0,10.3,100,2003
"187","Rio Maria",1506161,"PA",4122,3179.4,11.3,806.5,0,0,128.6,7.5,100,2003
"188","Rio dos Bois",1718709,"TO",848,17.8,0,0.2,0,0,828.1,1.9,99,2003
"189","Rio da Conceição",1718659,"TO",793,0,0,0,0,777.6,785.9,0,197,2003
"190","Rio Crespo",1100262,"RO",1741,956.2,40.2,761.5,0,0,23.3,0,100,2003
"191","Rio Branco",1200401,"AC",9113,2198.9,81.8,6913.9,0,0.1,0,0.1,100,2003
"192","Rio Branco",5107206,"MT",529,445.1,0,11.2,0,0.5,72.2,0,100,2003
"193","Ribeirãozinho",5107198,"MT",623,0,0,0,0,22,618.7,0,102,2003
"194","Ribeirão Cascalheira",5107180,"MT",11364,1425.3,26.9,1983.6,0,0.2,7938.9,16,100,2003
"195","Ribamar Fiquene",2109551,"MA",755,414.2,0.7,80.6,0,0,244.7,15.5,99,2003
"196","Riachinho",1718550,"TO",520,435.1,4.1,65.6,0,0.5,18.8,0,100,2003
"197","Riachão",2109502,"MA",6422,0,0,0,0,4449.1,6422.7,0,169,2003
"198","Reserva do Cabaçal",5107156,"MT",1342,282.4,8.6,349.7,0,0,709.9,0,100,2003
"199","Redenção",1506138,"PA",3830,2609.1,10.5,515.8,0,0.1,705,0,100,2003
"200","Recursolândia",1718501,"TO",2230,32.8,1.7,94.8,0,1.5,2100.9,0,99,2003
"201","Raposa",2109452,"MA",64,10.7,0.2,44.8,0,0.1,0.7,7.7,100,2003
"202","Querência",5107065,"MT",17854,4258.2,509.3,11240.5,0,0.8,2273.5,81,99,2003
"203","Quatipuru",1506112,"PA",326,71.4,7.7,52.3,1.5,117.2,24.9,58.7,100,2003
"204","Pugmil",1718451,"TO",403,0,0,0,0,0,403.3,0,100,2003
"205","Primavera do Leste",5107040,"MT",5473,0.7,0.7,17.1,0,0,5455.2,0,99,2003
"206","Primavera de Rondônia",1101476,"RO",610,405.2,1.4,110.7,0,0,93.6,0.5,100,2003
"207","Primavera",1506104,"PA",261,167.7,21.6,0,0,89.5,9.3,8,105,2003
"208","Presidente Sarney",2109270,"MA",732,546.1,3.2,101.1,0,0,82.1,2.7,100,2003
"209","Presidente Médici",1100254,"RO",1773,1580.8,16.2,165.1,0,0,17.6,9.5,100,2003
"210","Presidente Médici",2109239,"MA",441,440,1.8,0.7,0,0.3,0,0,99,2003
"211","Presidente Kennedy",1718402,"TO",774,336,1.4,106.7,0,0.6,330.7,0,100,2003
"212","Presidente Juscelino",2109205,"MA",360,32.9,0.4,288.8,0,2.5,33.3,2.5,99,2003
"213","Presidente Figueiredo",1303536,"AM",25568,629.9,33.7,21509.8,0,5.4,1.1,3421.8,99,2003
"214","Presidente Dutra",2109106,"MA",805,683.4,21.4,121.4,0,0,0.1,0.1,99,2003
"215","Prainha",1506005,"PA",14785,1281.1,94.2,8978.7,0,9.7,2964.4,1551.1,99,2003
"216","Praia Norte",1718303,"TO",291,208.1,0.1,44.1,0,0,29.5,9.3,100,2003
